cruise,seq,date_time,ctrb_id,bottle,depth,dec_lat,dec_long,adinos,hdinos
SU92-1,1,1992-03-27 17:57:00,C1,12,0,36.8,-121.85,-0.198802219928052,0.217850367099198
10692,2,1992-04-15 19:54:00,H3,12,0,36.63,-122.09,-0.0946964681638445,1.57162430484329
10792,1,1992-04-16 14:43:00,C1,12,0,36.79,-121.84,2.22685079909574,1.61339447490765
10792,5,1992-04-16 17:28:00,L4,2,0,36.88,-122.08,3.26320841164223,2.95433292489691
10792,6,1992-04-16 19:14:00,C7,12,0,36.63,-122.13,0.0794394488264255,1.66979407468908
10792,8,1992-04-16 21:02:00,H1,6,0,36.62,-121.89,2.90514919836489,1.87518368392613
12192,1,1992-04-30 15:00:00,C1,12,0,36.79,-121.84,2.95136195993883,1.00322923954221
12192,3,1992-04-30 18:47:00,M3,2,0,36.78,-121.93,4.1490566334267,3.38761076686809
12192,4,1992-04-30 20:04:00,H3,12,0,36.77,-122.01,3.50542861992622,2.29457429203617
12192,5,1992-04-30 21:54:00,Q4,3,0,36.86,-121.9,3.97264615900821,2.8189284460549
12792,1,1992-05-06 14:47:00,C1,12,0,36.79,-121.85,2.88323082199478,2.45356268676134
12792,3,1992-05-06 16:26:00,Q4,2,0,36.86,-121.91,3.39790837881725,2.90907399785313
12792,4,1992-05-06 17:08:00,H5,1,0,36.9,-122.01,3.46546789813969,3.22392147414369
12792,5,1992-05-06 17:36:00,L4,1,0,36.88,-122.08,3.93108598670462,2.24397053714078
12792,6,1992-05-06 18:39:00,H3,12,0,36.77,-122.01,-0.134926651259593,1.07807891444142
12792,7,1992-05-06 20:25:00,C7,12,0,36.63,-122.13,1.13063762579798,1.17390187196815
